------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoAceleración
NaN NaN NaN NaN NaN 0.0000
0.1045 0.1094 0.1231 0.1242 0.1153 0.0100
0.1344 0.1155 0.1230 0.1289 0.1254 0.0201
0.2043 0.1297 0.1338 0.1467 0.1536 0.0301
0.2536 0.1947 0.1389 0.1890 0.1940 0.0401
0.3964 0.2896 0.1390 0.2339 0.2647 0.0501
0.3417 0.3956 0.1551 0.1986 0.2728 0.0602
0.2577 0.5740 0.2456 0.3079 0.3463 0.0702
0.5203 0.4216 0.2498 0.3272 0.3797 0.0802
0.4242 0.6164 0.3018 0.4508 0.4483 0.0902
0.4082 0.5146 0.3976 0.5496 0.4675 0.1003
0.3964 0.5982 0.5025 0.4558 0.4882 0.1103
0.4907 0.6851 0.6020 0.4917 0.5674 0.1203
0.3162 0.7007 0.5700 0.4821 0.5172 0.1303
0.3796 0.3352 0.4374 0.4860 0.4096 0.1404
0.4148 0.4772 0.3832 0.3991 0.4186 0.1504
0.3549 0.3173 0.4991 0.4598 0.4078 0.1604
0.4322 0.2434 0.3986 0.4738 0.3870 0.1704
0.4533 0.2443 0.3709 0.4320 0.3751 0.1805
0.3413 0.3424 0.3467 0.3902 0.3551 0.1905
0.2999 0.4323 0.4706 0.5569 0.4399 0.2005
0.3511 0.3493 0.5320 0.4896 0.4305 0.2105
0.3537 0.3966 0.7053 0.5925 0.5120 0.2206
0.5009 0.4572 0.6426 0.5503 0.5377 0.2306
0.5559 0.3972 0.6332 0.4964 0.5207 0.2406
0.4954 0.3409 0.5007 0.5600 0.4742 0.2506
0.4911 0.3447 0.6574 0.5043 0.4994 0.2607
0.4392 0.4197 0.6315 0.3888 0.4698 0.2707
0.3177 0.2615 0.6093 0.3078 0.3741 0.2807
0.4025 0.2506 0.5603 0.2690 0.3706 0.2907
0.3856 0.2081 0.5589 0.2512 0.3510 0.3008
0.3396 0.3348 0.5218 0.2983 0.3736 0.3108
0.3117 0.2855 0.5379 0.3536 0.3722 0.3208
0.2210 0.2917 0.4596 0.3429 0.3288 0.3308
0.2661 0.2418 0.3871 0.3168 0.3030 0.3409
0.2790 0.1882 0.4168 0.3061 0.2975 0.3509
0.2763 0.1862 0.4443 0.2656 0.2931 0.3609
0.2576 0.2319 0.4125 0.2114 0.2784 0.3709
0.2554 0.2477 0.3646 0.2078 0.2689 0.3810
