------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoVelocidad
NaN NaN NaN NaN NaN 0.0000
0.1636 0.1713 0.1927 0.1943 0.1805 0.0100
0.4207 0.3616 0.3849 0.4034 0.3927 0.0201
0.9594 0.6089 0.6284 0.6888 0.7214 0.0301
1.5877 1.2187 0.8694 1.1832 1.2148 0.0401
3.1024 2.2664 1.0882 1.8307 2.0719 0.0501
3.2093 3.7149 1.4567 1.8652 2.5615 0.0602
2.8232 6.2895 2.6909 3.3732 3.7942 0.0702
6.5154 5.2793 3.1275 4.0967 4.7547 0.0802
5.9759 8.6825 4.2518 6.3507 6.3152 0.0902
6.3899 8.0546 6.2236 8.6019 7.3175 0.1003
6.8258 10.2999 8.6513 7.8469 8.4060 0.1103
9.2164 12.8688 11.3077 9.2353 10.6570 0.1203
6.4342 14.2577 11.5980 9.8096 10.5249 0.1303
8.3185 7.3459 9.5851 10.6489 8.9746 0.1404
9.7399 11.2030 8.9975 9.3700 9.8276 0.1504
8.8883 7.9454 12.4990 11.5143 10.2117 0.1604
11.4991 6.4758 10.6073 12.6066 10.2972 0.1704
12.7709 6.8830 10.4498 12.1706 10.5686 0.1805
10.1487 10.1822 10.3111 11.6039 10.5615 0.1905
9.3896 13.5321 14.7321 17.4347 13.7721 0.2005
11.5389 11.4802 17.4872 16.0923 14.1497 0.2105
12.1794 13.6560 24.2883 20.4023 17.6315 0.2206
18.0337 16.4593 23.1320 19.8092 19.3585 0.2306
20.8821 14.9203 23.7869 18.6481 19.5593 0.2406
19.3861 13.3380 19.5933 21.9130 18.5576 0.2506
19.9854 14.0275 26.7548 20.5210 20.3222 0.2607
18.5620 17.7356 26.6883 16.4316 19.8544 0.2707
13.9236 11.4587 26.7020 13.4887 16.3933 0.2807
18.2699 11.3763 25.4351 12.2121 16.8233 0.2907
18.1066 9.7712 26.2448 11.7954 16.4795 0.3008
16.4793 16.2465 25.3181 14.4733 18.1293 0.3108
15.6104 14.2996 26.9412 17.7089 18.6400 0.3208
11.4131 15.0648 23.7390 17.7113 16.9820 0.3308
14.1621 12.8680 20.6005 16.8597 16.1226 0.3409
15.2836 10.3094 22.8343 16.7678 16.2988 0.3509
15.5681 10.4917 25.0337 14.9641 16.5144 0.3609
14.9199 13.4285 23.8917 12.2423 16.1206 0.3709
15.1909 14.7300 21.6871 12.3607 15.9922 0.3810
