------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0100
0.0013 0.0012 0.0012 0.0013 0.0013 0.0201
0.0046 0.0029 0.0030 0.0033 0.0035 0.0301
0.0101 0.0078 0.0055 0.0076 0.0078 0.0401
0.0247 0.0181 0.0087 0.0146 0.0165 0.0501
0.0307 0.0356 0.0139 0.0179 0.0245 0.0602
0.0315 0.0702 0.0301 0.0377 0.0424 0.0702
0.0832 0.0674 0.0399 0.0523 0.0607 0.0802
0.0858 0.1247 0.0611 0.0912 0.0907 0.0902
0.1020 0.1285 0.0993 0.1372 0.1168 0.1003
0.1198 0.1808 0.1518 0.1377 0.1475 0.1103
0.1765 0.2464 0.2165 0.1768 0.2040 0.1203
0.1335 0.2957 0.2406 0.2035 0.2183 0.1303
0.1858 0.1641 0.2141 0.2379 0.2005 0.1404
0.2331 0.2681 0.2153 0.2243 0.2352 0.1504
0.2269 0.2028 0.3191 0.2939 0.2607 0.1604
0.3119 0.1757 0.2877 0.3419 0.2793 0.1704
0.3668 0.1977 0.3001 0.3495 0.3035 0.1805
0.3077 0.3087 0.3126 0.3518 0.3202 0.1905
0.2996 0.4318 0.4701 0.5564 0.4395 0.2005
0.3866 0.3847 0.5859 0.5392 0.4741 0.2105
0.4275 0.4793 0.8526 0.7162 0.6189 0.2206
0.6618 0.6040 0.8489 0.7269 0.7104 0.2306
0.7996 0.5713 0.9109 0.7141 0.7490 0.2406
0.7733 0.5320 0.7815 0.8741 0.7402 0.2506
0.8291 0.5819 1.1099 0.8513 0.8430 0.2607
0.7996 0.7640 1.1497 0.7079 0.8553 0.2707
0.6220 0.5119 1.1929 0.6026 0.7324 0.2807
0.8454 0.5264 1.1769 0.5651 0.7784 0.2907
0.8667 0.4677 1.2562 0.5646 0.7888 0.3008
0.8151 0.8036 1.2523 0.7159 0.8967 0.3108
0.7970 0.7301 1.3755 0.9042 0.9517 0.3208
0.6009 0.7932 1.2499 0.9325 0.8942 0.3308
0.7683 0.6981 1.1175 0.9146 0.8746 0.3409
0.8535 0.5757 1.2752 0.9364 0.9102 0.3509
0.8942 0.6026 1.4379 0.8595 0.9486 0.3609
0.8808 0.7928 1.4104 0.7227 0.9517 0.3709
0.9210 0.8931 1.3149 0.7494 0.9696 0.3810
